Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Avagis,Avagis,,Valiant Entertainment,Neutral,Male,The VineVisigoths,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #1 (May, 2012)",2012
"Avichal ""Avi"" Malakar",Avichal Malakar,AviThe Sheriff,Valiant Entertainment,Good,Male,Secret Weapons,,Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #2(July, 2017)",2017
Avitus Axia,Avitus Axia,,Valiant Entertainment,Good,Male,,Antonius Axia (father)Bella Axia \ (mother),Peter MilliganJuan Jose Ryp,"Britannia  #1 (September, 2016)",2016
@x,Octavio Gonzalez,The Øracle,Valiant Entertainment,Good,Male,,Irene Gonzalez (sister),Jim Shooter (original)David Lapham (original)Joshua Dysart (reboot)Clayton Henry (reboot),"Original: Harbinger  #3 (March, 1992)Reboot: Harbinger (Volume 2) #20 (January, 2014)",2014
Aye,Ayezan,,Valiant Entertainment,Neutral,,Punk Mambo (formerly),,Matt KindtDoug Braithwaite,"Ninjak (Volume 3) #10 (December, 2015)",2015
Azaire Aguilliard,Azaire Aguilliard,,Valiant Entertainment,Bad,Male,,Unnamed mambo (mother)Unnamed houngan (father),Cullen BunnAdam Gorham,"Punk Mambo (Volume 2) #3 (June, 2019)",2019
Azure Emperor,Azure Emperor,,Valiant Entertainment,Bad,Male,The Azure,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #5(July, 2017)",2017
Baba Yaga,Baba Yaga,,Valiant Entertainment,Bad,Female,Red Brigade,"Grigori Rasputin (""father"")",Matt KindtTrevor Hairsine,"Divinity III: Stalinverse  #1(December, 2016)",2016
Babel,Babel,,Valiant Entertainment,Bad,Male,,,Matt KindtCafu,"Rapture  #1(May, 2017)",2017
Bacchus,Unknown,The Party God,Valiant Entertainment,Bad,Male,,,Rafer RobertsDavid Lafuente,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Bad Planet,Sasha Solomon,,Valiant Entertainment,Neutral,Female,VineVine PlantingsVine Planting Liberation Army,Tess Solomon (Mother),Joshua Dysart,"Imperium  #5(June, 2015)",2015
Barack Obama,Barack Hussein Obama II,,Real WorldValiant Entertainment,Neutral,Male,U.S. Government,,Joshua Dysart,"Harbinger: Omegas  #1(July, 2014)",2014
Bastet,Bastet,Bast,Real WorldValiant Entertainment,Neutral,Female,,,,"Doctor Mirage #5(December, 2019)",2019
Bat,Bat,,Valiant Entertainment,Bad,Male,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #10(December, 2017)",2017
Batwin,Batwin,,Valiant Entertainment,Neutral,Male,Visigoths,Gafti (brother),Matt KindtTrevor Hairsine,"X-O Manowar (Volume 4) #18(August, 2018)",2018
BAZ-L,BAZ-L,,Valiant Entertainment,Good,Female,The Processors / Bounty Hunters,,Matt KindtRyan Bodenheim,"X-O Manowar (Volume 4) #11(January, 2018)",2018
Beacon,Georgette (last name unknown),Beacon,Valiant Entertainment,Good,Female,ESAG.A.T.E.Psi-Lords,,Fred Van LenteRenato GuedesJonathan Arthur Ashley,"Psi-Lords (Volume 2) #1(June, 2019)",2019
Beholder Cam,Beholder Cam,,Valiant Entertainment,Neutral,Male,,,Joshua DysartBarry Kitson,"Harbinger (Volume 2) #18(November, 2013)",2013
Bella Axia,Bella Axia,,Valiant Entertainment,Good,Female,,Antonius (husband)Avitus (son),Peter MilliganJuan Jose Ryp,"Britannia  #2 (October, 2016)",2016
Belu,Belu,,Valiant Entertainment,Bad,Male,,,Jody HouserMJ Kim,"Faith: Dreamside #4 (January, 2019)",2019
Benito Mussolini,Benito Amilcare Andrea Mussolini,"Il Duce (""The Leader"")",Real WorldValiant Entertainment,Bad,Male,Nazis,,,"X-O Manowar (Volume 3) #4(August, 2012)",2012
O Polvo,Berinaldo Azevedo,The Octopus,Valiant Entertainment,Bad,Male,,Gia Azevedo (Daughter)Gwennie Azevedo (Daughter)Mary-Maria Archer (Eldest daughter),Karl BollersClayton Henry,"Archer & Armstrong (Volume 2) #24 (September, 2014)",2014
Beta-Max,,,Valiant Entertainment,Good,Male,E.R.A. (Formerly)MI-6 (Briefly),,James AsmusTom Fowler,"Quantum and Woody (Volume 2) #3 (September, 2013)",2013
Big Boy,Unknown,,Valiant Entertainment,Bad,Male,H.A.R.D. CorpsProject Rising SpiritThe Specialists,,David Michelinie (original)Bob Layton (original)David Lapham (original)Christos Gage (reboot)Joshua Dysart (reboot)Bart Sears (reboot),"Original: The H.A.R.D. Corps  #1 (December, 1992)Reboot: Bloodshot and H.A.R.D. Corps  #18 (January, 2014)",2014
Big Dumb Russian,Unknown,,Valiant Entertainment,Bad,Female,E.R.A.,,James AsmusTom Fowler,"Quantum and Woody (Volume 2) #1 (July, 2013)",2013
Blaster,Unknown,,Valiant Entertainment,Good,Male,Generation Zero,,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #6(December, 2012)",2012
Blastr,Unknown,,Valiant Entertainment,Good,Male,Unity,,Matt Kindt,"Unity (Volume 2) #19(June, 2015)",2015
Bleeding Monk,Kyros,Bleeding Monk,Valiant Entertainment,Neutral,Male,Alexander the Great (formerly)Harbinger Foundation,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #1(June, 2012)",2012
Bloodhound,Bloodhound,,Valiant Entertainment,Good,Male,Bloodshot Squad,Bloodshot / Ray GarrisonMagicJessie,Jim Shooter (Original)Fred Pierce (Original)Ernie Colon (Original)Robert Venditti (BOD)Robert Gill (BOD)Jeff Lemire (BSRB)Raul Allen (BSRB)Patricia Martin (BSRB),"Original: Magnus, Robot Fighter  #20 (January, 1993)BOD: Book of Death #1(July, 2015)BSRB: Bloodshot Reborn #5(August, 2015)",2015
Bloodshot,"Raymond ""Ray"" Garrison (seemingly)",Angelo MortalliBloodshotThe Every ManHarbinger HunterThe Psiot KillerThe White GhostKomandar BloodshotRay JanusRay-Father (by Bloodshot 4001)Ray-Self (by Bloodshot 4001),Valiant Entertainment,Good,Male,The BurnedBloodshot SquadH.A.R.D. Corps (formerly)Project Rising Spirit (formerly),Magic (girlfriend)Jessie (daughter)Bloodhound (dog),Kevin VanHook (original)Yvel Guichet (original)Duane Swierczynski (reboot)Manuel Garcia (reboot) Arturo Lozzi (reboot),"Bloodshot (Volume 3) #1(July, 2012)",2012
Coach Bloodshot,Coach Bloodshot,Coach 'Shot,Valiant High,Neutral,Male,Valiant High,,Original:Kevin VanHookDon PerlinBob LaytonValiant High:Daniel KibblesmithDerek Charm,"Valiant High #1(February, 2017)",2017
Bloodshot 4001,Bloodshot 4001,Bloodshot,Valiant Entertainment,Neutral,Male,Ray-SelfFather,,Jeff LemireDoug Braithwaite,"4001 A.D.: Bloodshot #1(June, 2016)",2016
Bloodshot,Bloodshot Rising Spirit,BloodshotAngelo MortalliMr. Blood MoonRichard TateVernon Krieg,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Kevin GreviouxLonnie NadlerZac ThompsonKen Lashley,"Bloodshot Rising Spirit #1(November, 2018)",2018
Bloodsquirt,Bloodsquirt,Bloody BuddyThe Squirt,Valiant EntertainmentThe Squirtverse,Bad,Male,,She-Squirt (sister),Jeff Lemire,"Bloodshot Reborn #1(April, 2015)",2015
BloodtotTM,BloodtotTM,,Valiant Entertainment,Neutral,Male,Project Rising Spirit,,Daniel KibblesmithJeff Pi\u00f1a,"Nanite Prevention(September, 2018)",2018
Blue Candy Boy,Blue Candy Boy,,Valiant Entertainment,Bad,Male,Consumer Twins,,Marguerite SauvageMJ Kim,"Faith's Winter Wonderland Special  #1 (December, 2017)",2017
Blunderbuss,Unknown,,Valiant Entertainment,Good,Male,Specialized Adventurers Bureau,,Matt KindtJose LuisJefte Palo,"Unity (Volume 2) #20(July, 2015)",2015
Bomb,Unknown,,Valiant Entertainment,Good,Female,Unity,,Matt Kindt,"Unity (Volume 2) #1(November, 2013)",2013
Bones,Unknown,,Valiant Entertainment,Bad,Male,H.A.R.D. CorpsProject Rising Spirit,,Joshua Dysart,"Imperium  #2(March, 2015)",2015
Boran the Puppy Pirate,Boran the Puppy Pirate,,Valiant Entertainment,Neutral,Male,,,Joshua DysartClayton Henry,"Harbinger (Volume 2) #17(October, 2013)",2013
Bran,Bran,,Valiant Entertainment,Neutral,Male,Antonius Axia,,Peter MilliganJuan Jose Ryp,"Britannia  #1 (September, 2016)",2016
Brandon Lee,Brandon Bruce Lee,Brandon Lee,Real WorldValiant Entertainment,Good,Male,Fameotorium,Bruce Lee (father),Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Bravado,Unknown,Bravado,Valiant Entertainment,Good,Male,Stormbreakers,,Mark Waid (Original)Brian Augustyn (Original)Alejandro Arbona (Reboot)Jim Towe (Reboot),"Doctor Tomorrow (Volume 2) #1(February, 2020)",2020
Breaker,Unknown,Breaker,Valiant Entertainment,Good,Male,Unit Y,Stock (great-grandson)[1],Matt KindtCary Nord,"Unity (Volume 2) #0(October, 2014)",2014
Britney,Britney (Last name unknown),Sister Britney,Valiant Entertainment,Neutral,Female,Mary-Maria,,Rafer Roberts,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Broken Angel,Angela Peace Baingana,Broken AngenThe Angela Vessel,Valiant Entertainment,Bad,Female,Harbinger FoundationProject Rising Spirit,,Joshua DysartDoug Braithwaite,"Imperium  #2(March, 2015)",2015
Bronson,Bronson (Last name unknown),Sister Bronson,Valiant Entertainment,Neutral,Female,Mary-Maria,,Rafer Roberts,"A&A: The Adventures of Archer & Armstrong #7 (September, 2016)",2016
Bruce Lee,Lee Jun-fan,Bruce Lee,Real WorldValiant Entertainment,Good,Male,Fameotorium,Brandon Lee (son),Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Bruto,Bruto,,Valiant Entertainment,Neutral,Male,,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #2(April, 2017)",2017
Geomancer,Buck McHenry,,Valiant Entertainment,Good,Male,House of the Earth,Kay McHenry (descendant),Jim Shooter (original)Don Perlin (original)Fred Van Lente (reboot)Clayton Henry (reboot),"Original: Solar, Man of the Atom  #10 (June, 1992)Reboot: Archer & Armstrong (Volume 2) #4 (November, 2012)",2012
Buddy Holly,Charles Hardin Holley,Buddy Holly,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Bull,Bull,,Valiant Entertainment,Bad,Male,,,Matt Kindt,"Ninjak (Volume 3) #11 (January, 2016)",2016
The Burning Monk,Unknown,The Burning Monk,Valiant Entertainment,Neutral,Male,Brotherhood of Tears,,B. Clay MooreFernando Dagnino,"Killers  #4(October, 2019)",2019
Burnt King,Burnt King,,Valiant Entertainment,Good,Male,The Burnt,Juneday (daughter),Matt KindtDoug Braithwaite,"X-O Manowar (Volume 4) #4(June, 2017)",2017
Butterfly Man,Francois (last name unknown),,Valiant Entertainment,Neutral,Male,Divine Army,,Matt KindtTrevor Hairsine,"Divinity  #1 (February, 2015)",2015
Cadmium President,Cadmium President,,Valiant Entertainment,Bad,Male,The Cadmium,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #3(May, 2017)",2017
Camarillo,Unknown,,Valiant Entertainment,Neutral,Male,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua Dysart,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Canaan,Canaan,,Real WorldValiant Entertainment,Neutral,Male,,Noah (grandfather),Fred Van LenteCafu,"Armstrong and the Vault of Spirits  #1 (February, 2018)",2018
The Captain,Unknown,,Valiant Entertainment,Good,Male,Unity,,Matt Kindt,"Unity (Volume 2) #1(November, 2013)",2013
Captain Cameron,Unknown,Captain Cameron,Valiant Entertainment,Neutral,Male,,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #1(February, 2019)",2019
Carl,Carl,,Valiant Entertainment,Bad,Male,E.R.A.,,James AsmusTom Fowler,"Quantum and Woody (Volume 2) #3 (September, 2013)",2013
Lifeline,Carol Jardine,,Valiant Entertainment,Neutral,Female,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #14 (September, 2013)",2013
Carolyn Kaye,Carolyn Kaye,,Valiant Entertainment,Neutral,Female,,,Rafer Roberts,"Harbinger Renegade #2(December, 2016)",2016
Catt,Catt,,Valiant Entertainment,Good,Female,The Burnt,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #2(April, 2017)",2017
Center Point,Carlos Pecchia,Center Point,Valiant Entertainment,Neutral,Male,Angela Peace BainganaProject Rising Spirit,,Joshua DysartDoug Braithwaite,"Imperium #4(May, 2015)",2015
Flamingo,Charlene Dupre,Flamingo,Valiant Entertainment,Good,Female,The Renegades,Nora Dupre (mother),Jim Shooter (original)David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger  #1 (January, 1992)Reboot: Harbinger (Volume 2) #1 (December, 2012)",2012
Charles Archer,Charles Archer,,Valiant Entertainment,Good,Male,,Marcie Archer (Wife)Obadiah Archer (Son),Fred Van Lente,"Archer & Armstrong (Volume 2) #25 (October, 2014)",2014
Charles Copeland,Charles Copeland,Mr. Copeland,Valiant Entertainment,Neutral,Male,The Abettors,,Peter MilliganDiego Bernard,"Shadowman (Volume 4) #13X(October, 2013)",2013
Gunslinger,Charles Palmer,Major Palmer,Valiant Entertainment,Neutral,Male,H.A.R.D. CorpsProject OmenUnited States Military,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #2(May, 2013)",2013
Chatter,Chatter,,Valiant Entertainment,Bad,Male,,,Robert Venditti,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Cheapjack,Unknown,CJ,Valiant Entertainment,Good,Male,Secret Weapons,,Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #2(July, 2017)",2017
Chernobyl,Unknown,,Valiant Entertainment,Bad,Male,Project Rising SpiritThe Specialists,,Christos GageJoshua DysartBart Sears,"Bloodshot and H.A.R.D. Corps  #18 (January, 2014)",2014
Chris Chriswell,Chris Chriswell,Chris Criswell,Valiant Entertainment,Bad,Male,The Faithless,,Jody HouserFrancis Portela,"Faith #1(January, 2016)",2016
Circadian,Unknown,Circadian,Valiant Entertainment,Bad,Male,Church Fallen,,Dan AbnettAdam PollinaA.J. Jothikumar (Char. Design),"Fallen World  #1(May, 2019)",2019
Cleaner,Unknown,,Valiant Entertainment,Bad,Male,The ChainsawProject Rising Spirit,,Len Kaminski (original)Sal Velluto (original)Duane Swierczynski (reboot)Manuel Garcia (reboot),"Original: Bloodshot (Volume 2) #2 (August, 1997)Reboot: Bloodshot (Volume 3) #5 (November, 2012)",2012
Cliff Burton,"Clifford Lee ""Cliff"" Burton",Cliff Burton,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Cloud,Kalea (Last name unknown),Puppet Master,Valiant Entertainment,Good,Female,Generation Zero,,Duane SwierczynskiMatthew Clark,"Bloodshot (Volume 3) #7(January, 2013)",2013
Clubb,Clubb,,Valiant Entertainment,Good,Male,The Azure,Scar (brother),Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #1(March, 2017)",2017
Cold Man,Unknown,Cold Man,Valiant Entertainment,Good,Male,Bloodshot SquadG.A.T.E.KGB (formerly),,Jeff LemireMico Suayan,"Bloodshot Reborn #14(June, 2016)",2016
Coldwar,Unknown,,Valiant Entertainment,Bad,Male,Project Rising SpiritThe Specialists,,Christos GageJoshua DysartBart Sears,"Bloodshot and H.A.R.D. Corps  #18 (January, 2014)",2014
Command,Unknown,,Valiant Entertainment,Bad,Male,The ChainsawProject Rising Spirit,,Len Kaminski (original)Sal Velluto (original)Duane Swierczynski (reboot)Manuel Garcia (reboot),"Original: Bloodshot (Volume 2) #2 (August, 1997)Reboot: Bloodshot (Volume 3) #5 (November, 2012)",2012
Commander Mob,Commander Mob,,Valiant Entertainment,Bad,Male,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #13(March, 2018)",2018
Commander Pith,Pith (full name unknown),,Valiant Entertainment,Bad,Male,The Vine,Dalgan Pith (descendant),Robert VendittiCary Nord,"X-O Manowar (Volume 3) #1(May, 2012)",2012
Control,Unknown,,Valiant Entertainment,Neutral,Male,Armor Hunters,,Robert VendittiDiego Bernard,"X-O Manowar (Volume 3) #26(June, 2014)",2014
Corporal Sven,Sven (full name unknown),,Valiant Entertainment,Bad,Male,M.E.R.O.The Vine,,Robert VendittiLee Garbett,"X-O Manowar (Volume 3) #15(July, 2013)",2013
Councilor Anther,Anther (full name unknown),,Valiant Entertainment,Bad,Male,The Vine,,Robert VendittiLee Garbett,"X-O Manowar (Volume 3) #5(September, 2012)",2012
Cronus,Christian (Last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Joshua DysartKhari Evans,"Harbinger Wars  #1 (April, 2013)",2013
Curry,Curry,,Valiant Entertainment,Good,Male,,,Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Cuth,Cuth,,Valiant Entertainment,Good,Female,Nergal,Nergal,Fred Van LenteJuan Jose Ryp,"Book of Death: Legends of the Geomancer #1 (July, 2015)",2015
D-3,Mr. Abbey,D-3,Valiant Entertainment,Neutral,Male,MI-6,,Christos GageTomas Giorello,"Ninja-K #1(November, 2017)",2017
Daddy,Unknown,Daddy,Valiant Entertainment,Bad,Male,,Magic (daughter)Ray Garrison (son-in-law)Jessie (granddaughter),Jeff LemireLewis LaRosa,"Bloodshot Salvation  #1(September, 2017)",2017
Dalgan Pith,Dalgan Pith,,Valiant Entertainment,Good,Male,The Vine,Commander Pith (ancestor),Robert VendittiCary Nord,"X-O Manowar (Volume 3) #12(April, 2013)",2013
Damballa,Damballa,DamballahDamballah WedoKeeper of the Cosmic BalanceThe Great Master,Real WorldValiant Entertainment,Neutral,Male,,,Andy DiggleStephen Segovia,"Shadowman (Volume 5) #1(March, 2018)",2018
Daniel Hoyt,Daniel Hoyt,,Valiant Entertainment,Good,Male,Federal Bureau of Investigation (FBI),,Jeff LemireMico Suayan,"Bloodshot Reborn #2(May, 2016)",2016
Dark Star,?,,Valiant Entertainment,Bad,,The Faithless,,Jody HouserPere Perez,"Faith (Volume 2) #5(November, 2016)",2016
Darpan the Mirror,Darpan,Darpan the Mirror,Valiant Entertainment,Neutral,Male,Foundation ZoneHarbinger Foundation (formerly)Toyo Harada,,Joshua DysartLewis LaRosa,"Harbinger (Volume 2) #2(July, 2012)",2012
Davey the Mackerel,Davey the Mackerel,,Valiant Entertainment,Good,Male,,,Rafer RobertsDavid Lafuente,"A&A: The Adventures of Archer & Armstrong #1(March, 2016)",2016
David Camp,David Camp,The CartographerThe Mapmaker,Valiant Entertainment,Bad,Male,Divine Army,,Matt KindtTrevor Hairsine,"Divinity  #1(February, 2015)",2015
Geomancer,David Dunlow,,Valiant Entertainment,Neutral,Male,GeomancersMaster Darque (unwillingly),,Robert VendittiRobert GillDoug Braithwaite,"Book of Death  #1(July, 2015)",2015
Dayo,Dayo,,Valiant Entertainment,Good,Female,,Gilad (Father),Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Deidre,Deidre,,Valiant Entertainment,Neutral,Female,Visigoths,Aric of Dacia (husband),Bob Layton (original)Mike Leeke (original)Robert Venditti (reboot)Cary Nord (reboot),"Original: X-O Manowar  #9 (October, 1992)Reboot: X-O Manowar (Volume 3) #2 (June, 2012)",2012
Dell,Unknown,Zeppelin I,Valiant Entertainment,Good,Female,Unit Y,,Matt KindtCary Nord,"Unity (Volume 2) #0(October, 2014)",2014
Demitri,Demitri (Last name unknown),,Valiant Entertainment,Bad,Male,Nauka Traveling Circus,,Rafer RobertsMike Norton,"A&A: The Adventures of Archer & Armstrong #6 (August, 2016)",2016
Denis de Walt,Denis de Walt,,Valiant Entertainment,Bad,Male,,,Jen Van MeterRoberto de la Torre,"The Death-Defying Doctor Mirage: Second Lives  #1 (December, 2015)",2015
Dennis Tucker,Dennis Tucker,,Valiant Entertainment,Good,Male,,Jay Tucker (Son),Rafer Roberts,"Harbinger Renegade #1(November, 2016)",2016
Derek Henderson,Derek Henderson,Vincent Van Goat,Valiant Entertainment,Neutral,Male,Quantum Labs,Mrs. Henderson (mother)Eric Henderson (son)Woody Henderson (foster son),James AsmusTom Fowler,"Quantum and Woody (Volume 2) #1 (July, 2013)",2013
Devotchka,Tatyana Chesnokova,Devotchka,Valiant Entertainment,Neutral,Female,KGB (formerly),Ninja-G (love interest),Christos GageJuan Jose Ryp,"Ninja-K #4(February, 2018)",2018
Diane Festival,Diane Festival,,Valiant Entertainment,Good,Female,Federal Bureau of Investigation (FBI),Everett Jack Festival \ (father)Delores Jean Festival \ (mother),Jeff LemireMico Suayan,"Bloodshot Reborn #2(May, 2016)",2016
Dimebag Darrell,Darrell Abbott,Dimebag DarrellDiamond Darrell,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
The Director,Unknown,The Director,Valiant Entertainment,Bad,Male,Vine Plantings,,Jody Houser,"Faith (Volume 2) #11 (May, 2017)",2017
Disciple,Aaron Frye,,Valiant Entertainment,Good,Male,H.A.R.D. Corps,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #14 (September, 2013)",2013
Divinity,Abram Adams,,Valiant Entertainment,Good,Male,Eva Adams (Wife)Anya Adams (Daughter),,Matt KindtTrevor Hairsine,"Divinity  #1 (February, 2015)",2015
Mr. D,Mr. D,Divinity,Valiant High,Neutral,Male,Valiant High,,Daniel KibblesmithDerek CharmOriginal:Matt KindtTrevor Hairsine,"Valiant High #3(April, 2017)",2017
Divinity Jr.,Unknown,Divinity Jr.New Observer,Valiant Entertainment,Neutral,Male,Future-Light,Abram Adams (foster father)Myshka (foster mother)The Observer \ (creator),Matt KindtTrevor Hairsine,"Eternity  #1 (October, 2017)",2017
Doctor Mirage,Shan Sofia Fong Mirage,The Death-Defying Doctor Mirage,Valiant Entertainment,Good,Female,,Li Hwen Mirage (Husband) \,Bob Layton (original)Bernard Chang (original)Justin Jordan (reboot)Patrick Zircher (reboot),"Original: Shadowman  #16 (August, 1993)Reboot: Shadowman (Volume 4) #5 (March, 2013)",2013
Doctor Silk,Augustus Silkowski,Hayashi-sanAugustus Silk[1],Valiant Entertainment,Bad,Male,Webnet,,Mark Moretti (original)Joe Quesada (original)Matt Kindt (reboot)Cafu (reboot),"Original: Ninjak  #1 (February, 1994)Reboot: Unity (Volume 2) #5 (March, 2014)",2014
Doctor Tear,Doctor Tear,,Valiant Entertainment,Neutral,Male,Future-Light,,Matt KindtTrevor Hairsine,"Eternity  #1 (October, 2017)",2017
Doctor Toilet,Doctor Toilet,,Valiant Entertainment,Bad,Male,,,Christopher HastingsRyan Browne,"Quantum and Woody (Volume 4) #1 (January, 2020) (flashback)Quantum and Woody (Volume 4) #2 (February, 2020) (full)",2020
Doctor Unfathomable,Doctor Unfathomable,Dr. AbominableDr. UDr. Whatevers,Valiant Entertainment,Bad,Male,,,Daniel KibblesmithKano,"Quantum and Woody (Volume 3) #1 (December, 2017)",2017
Geomancer,Dominique Braithwaite,,Valiant Entertainment,Good,Female,Geomancers,,Fred Van LenteEmanuela Lupacchino,"Archer & Armstrong (Volume 2) #6 (December, 2012)",2012
Donald Slocum,,The Spider-Clown Guy,Valiant Entertainment,Neutral,Male,Quantum SolutionsDerek Henderson,"Henrik Skinner (Husband, deceased)",James AsmusTom Fowler,"Quantum and Woody (Volume 2) #1 (July, 2013)",2013
Donald Trump,Donald John Trump,President of the United States,Real WorldAcclaim ComicsValiant Entertainment,Neutral,Male,U.S. Government,,Rafer Roberts,"Harbinger Renegade  #5(July, 2017)",2017
Double Blind,Unknown,,Valiant Entertainment,Good,Female,Shademen,,Matt KindtJose LuisJefte Palo,"Unity (Volume 2) #21(August, 2015)",2015
Dox,Alessandro Paradojo Del Verdad,DoxFearless leader (by Alyssa only),Valiant Entertainment,Good,Male,The Abettors,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #1(November, 2012)",2012
Doyle,Unknown,,Valiant Entertainment,Good,Female,Specialized Adventurers Bureau,,Matt KindtCary Nord,"Unity (Volume 2) #20(July, 2015)",2015
Drit,Drit,,Valiant Entertainment,Bad,Male,,,Jen Van MeterRoberto de la Torre,"The Death-Defying Doctor Mirage  #2 (October, 2014)",2014
Drusa,Drusa,,Valiant Entertainment,Neutral,Female,Vestal Virgins,,Peter MilliganJuan Jose Ryp,"Britannia  #1(September, 2016)",2016
Eidolon,Mina Nez,Eidolon,Valiant Entertainment,Neutral,Female,Black Bar (formerly)Sons of the Last Flesh (formerly),,Tim SeeleyBrett BoothAmilcar Pinna (Char. Designs),"Bloodshot (Volume 4) #1(September, 2019)",2019
Elena Vasliev,Elena Vasliev,,Valiant Entertainment,Neutral,Female,,,Cullen BunnRam\u00f3n F. Bachs,"Roku  #1(October, 2019)",2019
Eliphas,Unknown,,Valiant Entertainment,Good,Male,Generation Zero,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1(April, 2013)",2013
Elliot Zorn,Elliot Zorn,,Valiant Entertainment,Bad,Male,The NullThe SectZorn Capital,,John Ostrander (original)Ted Halsted (original)Fred Van Lente (reboot)Emanuela Lupacchino (reboot),"Original: Eternal Warrior  #27 (November, 1994)Reboot: Archer & Armstrong (Volume 2) #6 (December, 2012)",2012
Ember,Ember,,Valiant Entertainment,Bad,Male,Magpie,,Matt KindtDoug Braithwaite,"Ninjak (Volume 3) #10(December, 2015)",2015
Ember-1,Unknown,Ember-1,Valiant Entertainment,Bad,Female,MI-6 (formerly),,Cullen BunnRam\u00f3n F. Bachs,"Roku  #1(October, 2019)",2019
Dr. Emil Harting,Emil Harting,,Valiant Cinematic Universe,Bad,Male,Rising Spirit Technologies,,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
Emmanuel Kuretich,Emmanuel Kuretich,Doctor KuretichManny Kuretich,Valiant Entertainment,Good,Male,Harbinger FoundationProject Rising Spirit (formerly),,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #1(July, 2012)",2012
Enfuego,Lester Bradley,,Valiant Entertainment,Bad,Male,The Consortium,,Rafer RobertsDarick Robertson,"Harbinger Renegade #1(November, 2016)",2016
Erik Zafiropolous,Erik Zafiropolous,,Valiant Entertainment,Neutral,Male,,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #1(February, 2019)",2019
