Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Tucker,Unknown,,Valiant Entertainment,Neutral,Male,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua Dysart,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Tupac Shakur,Lesane Parish Crooks,Tupac Amaru ShakurTupac Shakur2PacMakaveli,Real WorldValiant Entertainment,Neutral,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Ultimo,Ultimorte,,Valiant Entertainment,Bad,Male,The UnitedCoalition,,Matt KindtCafuTrevor Hairsine,"Unity (Volume 2) #12November, 2014",2014
Uncle Gunnysack,Uncle Gunnysack,Tonton Macoute,Real WorldValiant Entertainment,Bad,Male,,,,"Punk Mambo (Volume 2) #1 (April, 2019)",2019
The Undead Monk,Unknown,,Valiant Entertainment,Neutral,Male,Shadow Seven,,Matt KindtButch Guice,"Ninjak (Volume 3) #4(June, 2015)",2015
Widower Vadim,Vadim,,Valiant Entertainment,Bad,Male,Widowers,Q'url (deceased former mate),Fred Van LenteRenato Guedes,"Psi-Lords (Volume 2) #3 (August, 2019)",2019
Vagabond,Unknown,,Valiant Entertainment,Good,Male,H.A.R.D. Corps,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #16 (November, 2013)",2013
Commander Trill,Vargosh Trill,,Valiant Entertainment,Bad,Male,The Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #1 (May, 2012)",2012
The Veil,Unknown,,Valiant Entertainment,Good,Female,Shademen,,Matt KindtJose LuisJefte Palo,"Unity (Volume 2) #21(August, 2015)",2015
Veronica,Veronica (last name unknown),,Valiant Entertainment,Bad,Female,The Black BlocProject Rising SpiritThe Sect,,Fred Van LenteKhari Evans,"Archer & Armstrong (Volume 2) #14 (October, 2013)",2013
Ronnie Sauvage,"Veronica ""Ronnie"" Sauvage",,Valiant Entertainment,Neutral,Female,,"Kevin Sauvage \ (husband)Henry Sauvage (son)Kevin Sauvage, Jr. (son)Unnamed child #3",B. Clay MooreClayton HenryLewis LaRosa,"Savage  #1(November, 2016)",2016
Viet Man,Sergeant Dell Parker,BloodshotVietman,Valiant Entertainment,Good,Male,Unity (formerly)Bloodshot SquadG.A.T.E.,,Matt KindtChrisCross,"Bloodshot (Volume 3) #0 (August, 2013)",2013
Vincent Van Goat,Vincent Van Goat,GertieGoatrudeDerek Henderson,Valiant Entertainment,Good,Female,Quantum & Woody (caretakers),,Christopher Priest (original)M.D. Bright (original)James Asmus (reboot)Tom Fowler (reboot),"Original: Quantum and Woody  #3 (August, 1997)Reboot: Quantum and Woody (Volume 2) #4 (October, 2013)",2013
High Priest of the Vine,Unknown,,Valiant Entertainment,Good,Male,The Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #1(May, 2012)",2012
Vlad the Impaler,Vlad Tepes III,Vlad the ImpalerVlad Dracula,Real WorldValiant Entertainment,Bad,Male,,,,"The Forgotten Queen  #3(April, 2019)",2019
Volo,Volo,,Valiant Entertainment,Good,Male,Visigoths,,Robert VendittiLee Garbett,"X-O Manowar (Volume 3) #16(August, 2013)",2013
Von-New-Man,Von-New-Man,Nano-Man,Valiant Entertainment,Bad,Male,,,Fred Van LenteFrancis Portela,"Ivar, Timewalker  #6(June, 2015)",2015
War Mother,Ana (Last name unknown),Queen of ScavsWar Mother,Valiant Entertainment,Good,Female,,Ignacio (Husband)Iggy (Son)Max (Adopted son),Robert Venditti (cameo)Doug Braithwaite (cameo)Fred Van LenteTomas Giorello,"Cameo (see Notes): Book of Death  #1 (July, 2015)First real appearance: 4001 A.D.: War Mother #1 (August, 2016)",2015
War-Monger,Vexana Anni-Padda,War-MongerAgent of ChaosThe Forgotten QueenMadwomanTib\u00fbtu,Valiant Entertainment,Bad,Female,,Anni (mother)Padda (Name-giver)Aram Anni-Padda (brother)Gilad Anni-Padda (brother)Ivar Anni-Padda (brother),Matt KindtPere Perez,"Unity (Volume 2) #18(May, 2015)",2015
White Rabbit,White Rabbit,Mister Rabbit of Wonderland,Real WorldValiant Entertainment,Good,Male,King BearAlice and Mister Rabbit (TV show),,Marguerite SauvageFrancis PortelaMJ Kim,"Faith's Winter Wonderland Special  #1 (December, 2017)",2017
Wilfred Wigans,Wilfred Wigans,,Valiant Entertainment,Good,Male,Project Rising Spirit (formerly),,Eric Heisserer (movie)Jeff Wadlow (movie)Tim Seeley (comics)Jason Masters (comics),"Movie: Bloodshot(March, 2020)Comics: Valiant: The Year of Heroes FCBD 2020 Special (July, 2020)",2020
Will Newton,Will Newton,,Valiant Entertainment,Neutral,Male,Psiot Security and Education Program (PSEP),,Vita AyalaKano,"Livewire  #5(April, 2019)",2019
Shakespeare,William Shakespeare,Bard of Avon,Real WorldValiant Entertainment,Good,Male,,,Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Wind,Unknown,,Valiant Entertainment,Good,Male,ShademenUnity,,Matt KindtJose LuisJefte Palo,"Unity (Volume 2) #21(August, 2015)",2015
Wombat,Wombat,,Real WorldValiant Entertainment,Neutral,,,,,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Woody 2,,WoodyKid Woody,Acclaim Comics,Good,Transgender,New Quantum and Woody,,Christopher PriestM.D. Bright,"Q2: The Return of Quantum and Woody  #1(October, 2014)",2014
Woody,"Woodrow ""Woody"" Henderson",Woody Van CheltonWoody Van Chelton-Henderson,Valiant Entertainment,Good,Male,Quantum and Woody,Eric Henderson (foster brother)Derek Henderson (foster father)Lucy Van Chelton (mother)Rutherford Van Chelton (father),Christopher Priest (original)M.D. Bright (original)James Asmus (reboot)Tom Fowler (reboot),"Original: Quantum and Woody  #1 (June, 1997)Reboot: Quantum and Woody (Volume 2) #1 (July, 2013)",2013
Wyatt,Unknown,,Valiant Entertainment,Good,Male,Zipline,,Jody Houser,"Faith #1 (January, 2016)",2016
Wynn,Wynn,,Valiant Entertainment,Good,Male,The Azure,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #1(March, 2017)",2017
Wyrm,Unknown,,Valiant Entertainment,Good,Male,Unity,,Matt Kindt,"Unity (Volume 2) #21(August, 2015)",2015
X-O,Aric Dacia,X-O,Valiant High,Good,Male,Valiant High,,Daniel KibblesmithDerek CharmOriginal:Jim ShooterBob Layton,"Valiant High #1(February, 2017)",2017
X-O Manowar,Aric of Dacia,"X-O ManowarThe Worthy OneAric of UrthAric, Son of the Revolution",Valiant Entertainment,Good,Male,UnityVisigothsNew DaciaThe Armors,"Deidre \ (1st wife)Saana (2nd wife, separated)\u00b7 Aric II \ (son)\u00b7 Jhukka (daughter, not yet born)Schon (love interest)Rolf \ (father)Inga \ (mother)King Alaric \ (uncle)Gaft \ (cousin)Batwin \ (cousin)",Jim Shooter (original)Bob Layton (original)Robert Venditti (reboot)Cary Nord (reboot),"Original: X-O Manowar  #1(February, 1992)Reboot: X-O Manowar (Volume 3) #1 (May, 2012)",2012
Xaran,Xaran,,Valiant Entertainment,Good,Female,House of the Wild,Eternal Warrior (father)Aram Anni-Padda (uncle) Ivar Anni-Padda (uncle)Kalam (brother)Mitu (brother)Dayo (sister) Eveleen (sister)Ko (brother)Sophie (sister)Timeus (brother),Greg PakTrevor Hairsine,"Eternal Warrior (Volume 2) #1(September, 2013)",2013
Yeti,Yeti,Abominable Snowman,Real WorldValiant Entertainment,Neutral,Male,,,,"The Death-Defying Doctor Mirage: Plus Edition  #1 (September, 2014)",2014
Yuri,Euryale (last name unknown),Yuri,Valiant Entertainment,Neutral,Female,,,Matt KindtDoug Braithwaite,"Harbinger Wars 2  #0(December, 2017)",2017
Zealot,Unknown,,Valiant Entertainment,Bad,Male,Black Bar,,Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #2(October, 2019)",2019
Zelmax,Zelmax,,Valiant Entertainment,Neutral,Male,Clan Yossari,,Fred Van LenteRenato Guedes,"Psi-Lords (Volume 2) #5 (October, 2019)",2019
Zenith-Armor Guard,Zenith-Armor Guard,,Valiant Entertainment,Neutral,,MI-6Acclimation Bureau,,Matt KindtMarc Laming,"Ninjak (Volume 3) #23(January, 2017)",2017
Zephyr,Faith Herbert,Zephyr,Valiant High,Good,Female,Valiant High,,Daniel KibblesmithDerek CharmOriginal:Jim ShooterDavid Lapham,"Valiant High #1(February, 2017)",2017
Zeppelin,Unknown,Zeppelin II,Valiant Entertainment,Good,Male,Unity,,Matt KindtJose Luis,"Unity (Volume 2) #20(July, 2015)",2015
Ziwanda,Ziwanda,,Valiant Entertainment,Bad,Male,Baron Samedi,,Andy DiggleStephen Segovia,"Shadowman (Volume 5) #1(March, 2018)",2018
Zoe Hines,Zoe Hines,,Valiant Entertainment,Neutral,Female,,,Jody Houser,"Faith (Volume 2) #5 (November, 2016)",2016
@x,@x,The \u00d8racle,Valiant Entertainment,Bad,Male,@xiomsRaddies,,Matt KindtClayton Crain,"Rai (Volume 3) #1(April, 2014)",2014
